Method,ACC,precision,recall,f1-score
GaussianNB,0.10764177301215737,0.6290698591863442,0.10764177301215737,0.05813684642520353
LinearDiscriminantAnalysis,0.957335951068489,0.9627511448657574,0.957335951068489,0.9585745382704255
LogisticRegression,0.11013365551612173,0.7812918202308964,0.11013365551612173,0.0795505615942325
MLPClassifier,0.9314732311409801,0.9463979494167847,0.9314732311409801,0.9172310108509961
DecisionTreeClassifier,0.9521634070829872,0.9516821673352375,0.9521634070829872,0.9518533030021807
RandomForestClassifier,0.960545193687231,0.9636042546728731,0.960545193687231,0.9584373767394512
BaggingClassifier,0.9579400437967228,0.961020202512952,0.9579400437967228,0.9578190022830737
