Method,ACC,precision,recall,f1-score
RandomForestClassifier-NoTrees=10,0.959185985048705,0.9613321153073082,0.959185985048705,0.9585854966813839
RandomForestClassifier-NoTrees=20,0.9594125198217927,0.9617775450737122,0.9594125198217927,0.9584898765266567
RandomForestClassifier-NoTrees=50,0.9609605074378917,0.9640051377869274,0.9609605074378917,0.959371022182299
RandomForestClassifier-NoTrees=100,0.960545193687231,0.9636042546728731,0.960545193687231,0.9584373767394512
RandomForestClassifier-NoTrees=200,0.9601676357320849,0.9629115291805387,0.9601676357320849,0.9577649431485
RandomForestClassifier-NoTrees=300,0.9602431473231141,0.9630746118681041,0.9602431473231141,0.9578395171268472
RandomForestClassifier-NoTrees=500,0.9603941705051725,0.9633643719595969,0.9603941705051725,0.957886975837444
